b2_site_smc_agency_name,c1_type_of_site,c2_landowner,c3_tenancy_agreement_for_at_least_6_months,b1_site_management,b5_community_committee_in_place,d1_most_common_reason_idps_left_place_of_origin,a8_population_groups_other_than_idps_in_site_select_all_applicable,d3_most_common_intention_in_next_three_months,c4_general_market_in_site_close_proximity,d2_1_most_common_district_of_idp_origin,d2_2_second_most_common_district_of_idp_origin,d2_3_third_most_common_district_of_idp_origin,c6_electricity_solar_power_available_in_site,c5_fuel_available_in_site_close_proximity,c8_primary_water_source,c9_primary_shelter_type,c10_primary_latrine_type,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,psp_rrm_distributions,psp_shelter_maintenance_services,psp_nfi_distribution,psp_food_distribution,psp_cash_distributions,psp_wash_services,psp_health_services,psp_education_services,psp_livelihood_services,psp_protection_services,psp_nutrition_services,psp_waste_disposal_services,if_ngo_rrm_distributions,if_ngo_shelter_maintenance_services,if_ngo_nfi_distribution,if_ngo_food_distribution,if_ngo_cash_distributions,if_ngo_wash_services,if_ngo_health_services,if_ngo_education_services,if_ngo_livelihood_services,if_ngo_protection_services,if_ngo_nutrition_services,if_ngo_waste_disposal_services,c7_presence_of_particularly_vulnerable_groups.unaccompanied_separated_children,c7_presence_of_particularly_vulnerable_groups.child_headed_hh,c7_presence_of_particularly_vulnerable_groups.elderly,c7_presence_of_particularly_vulnerable_groups.female_headed_hh,c7_presence_of_particularly_vulnerable_groups.marginalized_people,c7_presence_of_particularly_vulnerable_groups.persons_with_disabilities,c7_presence_of_particularly_vulnerable_groups.persons_with_chronic_diseases_serious_medical_conditions,c7_presence_of_particularly_vulnerable_groups.pregnant_and_lactating_women,f1_threats_to_the_site.flooding,f1_threats_to_the_site.eviction,f1_threats_to_the_site.infectious_diseases,f1_threats_to_the_site.friction_between_communities,f1_threats_to_the_site.water_contamination,f1_threats_to_the_site.conflict_related_incidents,f1_threats_to_the_site.fire_related_incidents,a1_governorate_name,a2_district_name,a3_sub_district_name,a4_site_name,a4_site_code,a6_site_occupation_date_dd_mm_yy,a7_site_population_individual,a7_site_population_hh,a8_population_groups_other_than_idps_in_site_select_all_applicable,@rrm_distributions,@shelter_maintenance_services,@nfi_distribution,@food_distribution,@cash_distributions,@wash_services,@health_services,@education_services,@livelihood_services,@protection_services,@nutrition_services,@waste_disposal_services,@maps
N/A,Spontaneous settlement,Owner not know,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Adh Dhahir,Harad,Mustaba,No,No,Unprotected rainwater tank/well/spring,Makeshift shelter,Pit latrine-open,Shelter / maintenance assistance,Sanitation services,Cash assistance,NA,NA,NA,NGO/UN agency,NA,NA,Government,Government,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Hajjah,Mustaba,Sharq Mustabaa,Mahla'a,YE1706 - 1446,4/1/2015,2300,460,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Mahla'a.pdf
NA,Spontaneous settlement,Private,Yes,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Jabal Habashi,NA,Zabid,Yes,Yes,Unprotected rainwater tank/well/spring,Open air (no shelter),Open defection,Food,Medical assistance,Sanitation services,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,Government,NGO/UN agency,NA,NA,NA,NA,IOM,IOM,Field Medical Foundation (FMF),Save the Children,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Lahj,Radfan,al Habilin,Mahwa Al Al Qahruba,YE2507 - 1447,3/1/2015,300,50,host community,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Mahwa Al Al Qahruba.pdf
NA,NA,NA,NA,NA,NA,NA,Host community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lahj,Radfan,al Habilin,Mahwa Al Jawlah,YE2507 - 1448,1/1/2019,88,15,host community,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/test maps/YEM_CCCM_Mahwa Al Jawlah.pdf
NA,NA,NA,NA,NA,NA,NA,Host community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lahj,Radfan,al Habilin,Mahwa Al Kahruba',YE2507 - 1449,6/1/2019,135,22,host community,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/test maps/YEM_CCCM_Mahwa Al Kahruba'.pdf
NA,NA,NA,NA,NA,NA,NA,Host community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lahj,Radfan,al Habilin,Mahwa As Souq,YE2507 - 1450,5/1/2018,77,11,host community,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/test maps/YEM_CCCM_Mahwa As Souq.pdf
N/A,Spontaneous settlement,Owner not know,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Mudhaffar,Dimnat Khadir,NA,No,No,Water Trucking,Emergency shelter,Pit latrine-covered,Food,Water,Cash assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Care,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Ta'iz,Al Qahirah,Al Qahirah,Mahwa Zaid Al Mawshiki,YE1518 - 1451,6/1/2018,540,108,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Mahwa Zaid Al Mawshiki.pdf
Yemen Red Crescent Society (YRCS),Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Midi,Harad,Hayran,No,Yes,Water Trucking,Makeshift shelter,Open defection,Shelter / maintenance assistance,Food,Sanitation services,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NGO/UN agency,NA,NA,NGO/UN agency,NA,NA,NA,Norweigan Refugee Council (NRC),Danish Refugee Council (DRC),NA,NA,NA,UNICEF,NA,NA,Medecins Sans Frontieres (MSF),NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Hajjah,Abs,Matwalah,Majoar,YE1704 - 1452,5/1/2015,1771,291,host community,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Majoar.pdf
NA,Collective centre,Public ,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Arhab,NA,NA,Yes,No,Water Trucking,Public building,Flush latrine to a tank/sewer system/pit,Shelter / maintenance assistance,Non-food items,Protection services,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,Government,NA,NA,NGO/UN agency,NA,NA,NA,N/A,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,N/A,NA,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Maktab Alziraah,YE2612 - 1453,10/1/2015,335,66,none,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Maktab Alziraah.pdf
Yemen Red Crescent Society (YRCS),Spontaneous settlement,Private,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Harad,Midi,Hayran,No,Yes,Borehole,Makeshift shelter,Open defection,Shelter / maintenance assistance,Sanitation services,Medical assistance,NGO/UN agency,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NGO/UN agency,NA,NA,NA,Norweigan Refugee Council (NRC),NA,NA,Danish Refugee Council (DRC),Oxfam,NA,NA,NA,Oxfam,NA,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Hajjah,Abs,Bani Thawab,Maqaesha-North,YE1704 - 1454,4/1/2015,2388,456,host community,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Maqaesha-North.pdf
NA,Collective centre,Private,No,NGO/UN agency,NA,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Sirwah,Wusab Al Aali,Al Jabin,Yes,Yes,Borehole,Emergency shelter,Pit latrine-covered,Cash assistance,Shelter / maintenance assistance,Sanitation services,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,NA,NA,Government,Government,National Foundation for Development & Humanitarian Response (NFDHR),Yemen Red Crescent Society (YRCS),Millenium Development Foundation,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Masna'a Adhban,YE2612 - 1455,4/1/2015,894,169,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/test maps/YEM_CCCM_Masna'a Adhban.pdf
N/A,Collective centre,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,At Ta'iziyah,NA,NA,Yes,No,Water Trucking,Host family house/apartment,Flush latrine to a tank/sewer system/pit,Cash assistance,Medical assistance,Livelihood assistance,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NA,NA,NGO/UN agency,NA,Government,NA,DEEM,Bene Charity for Humanitarian Development,Bene Charity for Humanitarian Development,Charitable Society for Social Welfare (CSSW),NA,Care,NA,NA,Bene Charity for Humanitarian Development,NA,NA,NA,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Ta'iz,Salah,Salah,Mister Abd Albari building,YE1519 - 1456,7/1/2017,78,14,host community,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Mister Abd Albari building.pdf
N/A,Collective centre,Private,Yes,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Maqbanah,Jabal Habashi,NA,No,No,Water Trucking,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Water,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Care,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Ta'iz,Al Mudhaffar,Al Mudhaffar,Muhammad As Saif building,YE1517 - 1457,6/1/2018,72,13,none,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Muhammad As Saif building.pdf
N/A,Collective centre,Private,Yes,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Jabal Habashi,At Ta'iziyah,Sabir Al Mawadim,No,No,Bottled water,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Cash assistance,Medical assistance,Food,NA,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,Care,NA,Care,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Ta'iz,Al Mudhaffar,Al Mudhaffar,Muhammad Az zaghrouri building,YE1517 - 1458,8/1/2017,61,11,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Muhammad Az zaghrouri building.pdf
NA,Spontaneous settlement,Private,Yes,Non-existent,NA,House/livelihood assets destroyed/occupied,None,Stay in the site,No,Al Masilah,Sayhut,Man'ar,No,No,Piped water into compound/public tap,Transitional shelter,Flush latrine to the open,Shelter / maintenance assistance,Medical assistance,Cash assistance,NA,NA,NA,Private,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Hadramawt,As Sawm,As Sawm,Mukhibia - Shalahmat,YE1912 - 1459,6/1/2016,84,12,none,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Mukhibia - Shalahmat.pdf
NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hadramawt,Sah,Sah,Nesma,YE1909 - 1460,12/1/1989,490,70,none,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/test maps/YEM_CCCM_Nesma.pdf
N/A,Collective centre,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Sabir Al Mawadim,Salah,NA,No,No,Water Trucking,Host family house/apartment,Flush latrine to a tank/sewer system/pit,Cash assistance,Non-food items,Livelihood assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NGO/UN agency,NA,NA,NA,Charitable Society for Social Welfare (CSSW),NA,NA,NA,NA,NA,NA,NA,Care,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Ta'iz,Salah,Salah,Near to Quraish Mosque,YE1519 - 1461,6/1/2018,530,100,none,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/test maps/YEM_CCCM_Near to Quraish Mosque.pdf
IOM,Spontaneous settlement,Public ,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Wazi'yah,NA,NA,No,No,Borehole,Makeshift shelter,Flush latrine to the open,Food,Cash assistance,Legal services,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,Government,NGO/UN agency,Government,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,Oxfam,IOM,Oxfam,N/A,Oxfam,NA,N/A,NA,N/A,N/A,Soul Yemen,Oxfam,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Ta'iz,Ash Shamayatayn,Duba Ad Dakhil,New house camp,YE1514 - 1462,12/1/2016,400,125,host community,./merge/green.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/test maps/YEM_CCCM_New house camp.pdf
NA,Spontaneous settlement,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Zabid,At Tuhayta,Al Wazi'yah,No,No,Borehole,Makeshift shelter,Open defection,Shelter / maintenance assistance,Non-food items,Education,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nahda Makers Organization (NMO),NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Om Hurez,YE2515 - 1463,6/1/2017,180,30,host community,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Om Hurez.pdf
NA,Spontaneous settlement,Private,Yes,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Bayt Al Faqih,Markhah Al Olya,Hajjah,Yes,No,Borehole,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Cash assistance,Education,Medical assistance,NA,Private,NA,NGO/UN agency,NA,Private,Government,Government,Private,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Hadramawt,Haridah,Haridah,Onaibat,YE1928 - 1464,1/1/2014,210,30,host community,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Onaibat.pdf
Sama Al Yemen Development Foundation (SYDF),Collective centre,Public ,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Mudhaffar,Al Hawak,Damt,No,No,Piped water into compound/public tap,Public building,Flush latrine to a tank/sewer system/pit,Food,Non-food items,Sanitation services,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,NGO/UN agency,NA,NA,Islamic Relief Yemen (IRY),Sama Al Yemen Development Foundation (SYDF),Sama Al Yemen Development Foundation (SYDF),Sama Al Yemen Development Foundation (SYDF),Sama Al Yemen Development Foundation (SYDF),Sama Al Yemen Development Foundation (SYDF),IOM,NA,NA,Sama Al Yemen Development Foundation (SYDF),NA,NA,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Dhamar,Jahran,Al Mawsatah - Jahran,Peace Stadium camp,YE2002 - 1465,11/1/2018,1220,205,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Peace Stadium camp.pdf
NA,NA,NA,NA,NA,NA,NA,Host community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ta'iz,Ash Shamayatayn,Duba Al Kharij,Qahfah Arfah,YE1514 - 1466,2/1/2016,20,4,host community,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/test maps/YEM_CCCM_Qahfah Arfah.pdf
NA,Collective centre,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Hays,Al Jarrahi,Mawza',Yes,Yes,Borehole,Host family house/apartment,Flush latrine to a tank/sewer system/pit,Food,Non-food items,Cash assistance,Private,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,Government,NA,NGO/UN agency,NGO/UN agency,NA,NA,Mercy Corps,Emirates Red Crescent (ERC),Field Medical Foundation (FMF),NA,Care,INTERSOS,NA,NA,Norweigan Refugee Council (NRC),Adventist Development Relief Agency,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,Qaryart An Nouba,YE2515 - 1467,11/1/2016,125,15,host community,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Qaryart An Nouba.pdf
NA,Collective centre,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Maqbanah,Mawza',At Tuhayta,Yes,Yes,Water Trucking,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Medical assistance,Education,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NA,NA,NGO/UN agency,NA,NA,NA,Danish Refugee Council (DRC),NA,Norweigan Refugee Council (NRC),NA,NA,NA,NA,NA,UNICEF,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Qaryat Ad Dawajin,YE2515 - 1468,4/1/2016,288,48,host community,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Qaryat Ad Dawajin.pdf
NA,Collective centre,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Mawza',Shar'ab As Salam,Al Jarrahi,Yes,Yes,Piped water into compound/public tap,Host family house/apartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Medical assistance,Private,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,Government,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,IOM,Field Medical Foundation (FMF),INTERSOS,NA,Mercy Corps,NA,NA,Danish Refugee Council (DRC),Adventist Development Relief Agency,NA,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Lahj,Tuban,Al Hawtah - Tuban,Qaryat Ash Shadheif,YE2515 - 1469,7/1/2015,205,22,host community,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/green.png,./merge/green.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Qaryat Ash Shadheif.pdf
NA,Collective centre,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Qa'tabah,Damt,Osaylan,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Shelter / maintenance assistance,NA,NA,NA,NA,NA,NGO/UN agency,NA,Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norweigan Refugee Council (NRC),NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Lahj,Radfan,al Habilin,Qaryatai Ath Thumair Wa Al Malha,YE2507 - 1470,10/1/2018,135,23,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Qaryatai Ath Thumair Wa Al Malha.pdf
N/A,Spontaneous settlement,Owner not know,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Adh Dhahir,Harad,Mustaba,No,No,Unprotected rainwater tank/well/spring,Makeshift shelter,Pit latrine-open,Shelter / maintenance assistance,Legal services,Education,NA,NA,NA,NGO/UN agency,NA,NA,NGO/UN agency,Government,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,Sustainable Development Foundation (SDF),NA,NA,NA,NA,NA,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Hajjah,Mustaba,Sharq Mustabaa Al Aqsa,Qla'a Al'arj,YE1706 - 1471,4/1/2015,3500,500,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Qla'a Al'arj.pdf
Yemen Red Crescent Society (YRCS),Spontaneous settlement,Private,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Harad,Midi,Abs,No,Yes,Water Trucking,Makeshift shelter,Flush latrine to the open,Food,Cash assistance,Water,NGO/UN agency,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,Norweigan Refugee Council (NRC),NA,NA,Danish Refugee Council (DRC),NA,Yemen Red Crescent Society (YRCS),NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Hajjah,Abs,Matwalah,Quhaim,YE1704 - 1472,5/1/2015,921,179,host community,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Quhaim.pdf
